,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Latitude,Venue Longitude,Venue Category
0,Staten Island_Fox Hills,40.61731079,-74.08173992,SUBWAY,40.618939,-74.082881,Sandwich Place
1,Staten Island_Fox Hills,40.61731079,-74.08173992,MTA Bus - Vanderbilt Av & Osgood Av (S76),40.61780856258315,-74.08111056561337,Bus Stop
2,Staten Island_Fox Hills,40.61731079,-74.08173992,MTA Bus - Tompkins Av & Vanderbilt Av (S52/S76/S78/S86/SIM30),40.620052088624234,-74.07718015862453,Bus Stop
3,NJ_Weehawken,40.769796,-74.022351,Boulevard East,40.77053184050704,-74.020836353302,Scenic Lookout
4,NJ_Weehawken,40.769796,-74.022351,Garbanzo Mediterranean Grill,40.77232823559995,-74.02182996628235,Mediterranean Restaurant
5,NJ_Weehawken,40.769796,-74.022351,Walgreens,40.77027487801878,-74.0242219716311,Pharmacy
6,NJ_Weehawken,40.769796,-74.022351,Palermo's Bakery,40.7722506024531,-74.02191956391256,Bakery
7,NJ_Weehawken,40.769796,-74.022351,Weehawken Dueling Grounds,40.77026459089994,-74.01695563858985,Park
8,NJ_Weehawken,40.769796,-74.022351,Wells Fargo Bank,40.771441865675776,-74.02208760380745,Bank
9,NJ_Weehawken,40.769796,-74.022351,Verizon,40.77251052856445,-74.02649688720703,Mobile Phone Shop
10,NJ_Weehawken,40.769796,-74.022351,Dunkin',40.76979064941406,-74.02767944335938,Donut Shop
11,NJ_Weehawken,40.769796,-74.022351,Zona Libre Urban Mexican Kitchen & Bar,40.770973,-74.022934,Mexican Restaurant
12,NJ_Weehawken,40.769796,-74.022351,Lighthouse,40.76911,-74.02438,Harbor / Marina
13,NJ_Weehawken,40.769796,-74.022351,La Verdad Grocery,40.7713737487793,-74.02268981933594,Deli / Bodega
14,NJ_Weehawken,40.769796,-74.022351,Pizza Villa,40.771061019225044,-74.02251416772665,Pizza Place
15,NJ_Weehawken,40.769796,-74.022351,NJT - Bus 195,40.76937597407569,-74.02482239717162,Bus Line
16,NJ_Weehawken,40.769796,-74.022351,Restaurant Mexico Lindo,40.771728515625,-74.02249908447266,Mexican Restaurant
17,NJ_Weehawken,40.769796,-74.022351,Subway,40.77407315906446,-74.02069089210153,Sandwich Place
18,NJ_Weehawken,40.769796,-74.022351,Belky's Hair Salon,40.77199606666667,-74.021664,Cosmetics Shop
19,NJ_Weehawken,40.769796,-74.022351,Dunkin',40.77405774768736,-74.02055775210863,Donut Shop
20,NJ_Weehawken,40.769796,-74.022351,Dunkin',40.76977255455614,-74.02753468311789,Donut Shop
21,NJ_Weehawken,40.769796,-74.022351,Queen Nail,40.772616386311164,-74.02166079245828,Cosmetics Shop
22,NJ_Weehawken,40.769796,-74.022351,Park Avenue Pharmacy,40.772574,-74.021384,Pharmacy
23,NJ_Weehawken,40.769796,-74.022351,Monetti's Pizza,40.768754,-74.026635,Pizza Place
24,NJ_Weehawken,40.769796,-74.022351,Monetti's Pizza and Stuff,40.768672943115234,-74.02676391601562,Food
25,NJ_Weehawken,40.769796,-74.022351,Alexander Hamilton's Death Rock,40.770301,-74.017199,Historic Site
26,NJ_Weehawken,40.769796,-74.022351,Five Corners Liquors And Deli,40.768102949387774,-74.02739269462556,Deli / Bodega
27,NJ_Weehawken,40.769796,-74.022351,NJT - Bus 137,40.77056794810078,-74.0280470652088,Bus Line
